size,cycles,type,dpu
4096,1056768,dec,21
4096,1057296,enc,22
4096,1056688,dec,22
4096,1057456,enc,23
4096,1056688,dec,23
4096,1057296,enc,24
4096,1056688,dec,24
4096,1057376,enc,25
4096,1056688,dec,25
4096,1057312,enc,26
4096,1056640,dec,26
4096,1057312,enc,27
4096,1056768,dec,27
4096,1057296,enc,28
4096,1056608,dec,28
4096,1057312,enc,29
4096,1056768,dec,29
4096,1057456,enc,30
4096,1056688,dec,30
4096,1057296,enc,31
4096,1056688,dec,31
4096,1057360,enc,32
4096,1056608,dec,32
4096,1057408,enc,33
4096,1056720,dec,33
4096,1057296,enc,34
4096,1056752,dec,34
4096,1057376,enc,35
4096,1056608,dec,35
4096,1057376,enc,36
4096,1056768,dec,36
4096,1057392,enc,37
4096,1056688,dec,37
4096,1057360,enc,38
4096,1056688,dec,38
4096,1057392,enc,39
4096,1056752,dec,39
4096,1057296,enc,40
4096,1056768,dec,40
4096,1057376,enc,41
4096,1056768,dec,41
4096,1057360,enc,42
4096,1056608,dec,42
4096,1057376,enc,43
4096,1056768,dec,43
4096,1057408,enc,44
4096,1056640,dec,44
4096,1057456,enc,45
4096,1056688,dec,45
4096,1057296,enc,46
4096,1056688,dec,46
4096,1057456,enc,47
4096,1056752,dec,47
4096,1057312,enc,48
4096,1056640,dec,48
4096,1057312,enc,49
4096,1056768,dec,49
4096,1057376,enc,50
4096,1056768,dec,50
4096,1057376,enc,51
4096,1056608,dec,51
4096,1057456,enc,52
4096,1056688,dec,52
4096,1057296,enc,53
4096,1056688,dec,53
4096,1057456,enc,54
4096,1056752,dec,54
4096,1057296,enc,55
4096,1056688,dec,55
4096,1057312,enc,56
4096,1056768,dec,56
4096,1057296,enc,57
4096,1056608,dec,57
4096,1057312,enc,58
4096,1056768,dec,58
4096,1057360,enc,59
4096,1056688,dec,59
4096,1057392,enc,60
4096,1056688,dec,60
4096,1057456,enc,61
4096,1056688,dec,61
4096,1057296,enc,62
4096,1056688,dec,62
4096,1057296,enc,63
4096,1056768,dec,63
8192,2113312,enc,0
8192,2112640,dec,0
8192,2113328,enc,1
8192,2112672,dec,1
8192,2113392,enc,2
8192,2112720,dec,2
8192,2113312,enc,3
8192,2112640,dec,3
8192,2113392,enc,4
8192,2112640,dec,4
8192,2113312,enc,5
8192,2112640,dec,5
8192,2113328,enc,6
8192,2112720,dec,6
8192,2113392,enc,7
8192,2112720,dec,7
8192,2113312,enc,8
8192,2112720,dec,8
8192,2113392,enc,9
8192,2112720,dec,9
8192,2113312,enc,10
8192,2112640,dec,10
8192,2113328,enc,11
8192,2112752,dec,11
8192,2113312,enc,12
8192,2112640,dec,12
8192,2113392,enc,13
8192,2112640,dec,13
8192,2113328,enc,14
8192,2112640,dec,14
8192,2113328,enc,15
8192,2112720,dec,15
8192,2113392,enc,16
8192,2112720,dec,16
8192,2113312,enc,17
8192,2112640,dec,17
8192,2113392,enc,18
8192,2112640,dec,18
8192,2113312,enc,19
8192,2112640,dec,19
8192,2113392,enc,20
8192,2112640,dec,20
8192,2113392,enc,21
8192,2112720,dec,21
8192,2113312,enc,22
8192,2112720,dec,22
8192,2113392,enc,23
8192,2112720,dec,23
8192,2113312,enc,24
8192,2112640,dec,24
8192,2113168,enc,25
8192,2112672,dec,25
8192,2113392,enc,26
8192,2112752,dec,26
8192,2113328,enc,27
8192,2112720,dec,27
8192,2113328,enc,28
8192,2112640,dec,28
8192,2113328,enc,29
8192,2112784,dec,29
8192,2113392,enc,30
8192,2112720,dec,30
8192,2113312,enc,31
8192,2112720,dec,31
8192,2113392,enc,32
8192,2112640,dec,32
8192,2113328,enc,33
8192,2112752,dec,33
8192,2113312,enc,34
8192,2112640,dec,34
8192,2113392,enc,35
8192,2112640,dec,35
8192,2113392,enc,36
8192,2112720,dec,36
8192,2113312,enc,37
8192,2112720,dec,37
8192,2113392,enc,38
8192,2112720,dec,38
8192,2113312,enc,39
8192,2112640,dec,39
8192,2113328,enc,40
8192,2112720,dec,40
8192,2113392,enc,41
8192,2112720,dec,41
8192,2113392,enc,42
8192,2112640,dec,42
8192,2113392,enc,43
8192,2112720,dec,43
8192,2113328,enc,44
8192,2112672,dec,44
8192,2113392,enc,45
8192,2112720,dec,45
8192,2113312,enc,46
8192,2112640,dec,46
8192,2113392,enc,47
8192,2112640,dec,47
8192,2113392,enc,48
8192,2112752,dec,48
8192,2113328,enc,49
8192,2112720,dec,49
8192,2113392,enc,50
8192,2112720,dec,50
8192,2113328,enc,51
8192,2112720,dec,51
8192,2113392,enc,52
8192,2112720,dec,52
8192,2113312,enc,53
8192,2112720,dec,53
8192,2113392,enc,54
8192,2112640,dec,54
8192,2113312,enc,55
8192,2112640,dec,55
8192,2113328,enc,56
8192,2112720,dec,56
8192,2113328,enc,57
8192,2112640,dec,57
8192,2113328,enc,58
8192,2112720,dec,58
8192,2113392,enc,59
8192,2112720,dec,59
8192,2113312,enc,60
8192,2112640,dec,60
8192,2113392,enc,61
8192,2112640,dec,61
8192,2113312,enc,62
8192,2112640,dec,62
8192,2113328,enc,63
8192,2112720,dec,63
16384,4225472,enc,0
16384,4224720,dec,0
16384,4225376,enc,1
16384,4224800,dec,1
16384,4225392,enc,2
16384,4224720,dec,2
16384,4225456,enc,3
16384,4224720,dec,3
16384,4225392,enc,4
16384,4224720,dec,4
16384,4225472,enc,5
16384,4224576,dec,5
16384,4225360,enc,6
16384,4224640,dec,6
16384,4225392,enc,7
16384,4224720,dec,7
16384,4225456,enc,8
16384,4224720,dec,8
16384,4225392,enc,9
16384,4224720,dec,9
16384,4225472,enc,10
16384,4224720,dec,10
16384,4225376,enc,11
16384,4224720,dec,11
16384,4225472,enc,12
16384,4224784,dec,12
16384,4225392,enc,13
16384,4224784,dec,13
16384,4225328,enc,14
16384,4224784,dec,14
16384,4225424,enc,15
16384,4224768,dec,15
16384,4225392,enc,16
16384,4224720,dec,16
16384,4225456,enc,17
16384,4224720,dec,17
16384,4225392,enc,18
16384,4224720,dec,18
16384,4225472,enc,19
16384,4224720,dec,19
16384,4225392,enc,20
16384,4224784,dec,20
16384,4225344,enc,21
16384,4224720,dec,21
16384,4225456,enc,22
16384,4224720,dec,22
16384,4225392,enc,23
16384,4224720,dec,23
16384,4225456,enc,24
16384,4224720,dec,24
16384,4225456,enc,25
16384,4224656,dec,25
16384,4225376,enc,26
16384,4224720,dec,26
16384,4225360,enc,27
16384,4224640,dec,27
16384,4225328,enc,28
16384,4224800,dec,28
16384,4225424,enc,29
16384,4224768,dec,29
16384,4225392,enc,30
16384,4224720,dec,30
16384,4225456,enc,31
16384,4224720,dec,31
16384,4225392,enc,32
16384,4224720,dec,32
16384,4225376,enc,33
16384,4224720,dec,33
16384,4225472,enc,34
16384,4224720,dec,34
16384,4225392,enc,35
16384,4224784,dec,35
16384,4225360,enc,36
16384,4224720,dec,36
16384,4225456,enc,37
16384,4224720,dec,37
16384,4225392,enc,38
16384,4224720,dec,38
16384,4225472,enc,39
16384,4224720,dec,39
16384,4225360,enc,40
16384,4224656,dec,40
16384,4225280,enc,41
16384,4224640,dec,41
16384,4225392,enc,42
16384,4224784,dec,42
16384,4225344,enc,43
16384,4224720,dec,43
16384,4225376,enc,44
16384,4224720,dec,44
16384,4225392,enc,45
16384,4224720,dec,45
16384,4225456,enc,46
16384,4224720,dec,46
16384,4225392,enc,47
16384,4224720,dec,47
16384,4225376,enc,48
16384,4224800,dec,48
16384,4225360,enc,49
16384,4224640,dec,49
16384,4225280,enc,50
16384,4224640,dec,50
16384,4225456,enc,51
16384,4224720,dec,51
16384,4225392,enc,52
16384,4224720,dec,52
16384,4225456,enc,53
16384,4224720,dec,53
16384,4225392,enc,54
16384,4224720,dec,54
16384,4225472,enc,55
16384,4224720,dec,55
16384,4225360,enc,56
16384,4224640,dec,56
16384,4225472,enc,57
16384,4224640,dec,57
16384,4225424,enc,58
16384,4224768,dec,58
16384,4225392,enc,59
16384,4224720,dec,59
16384,4225456,enc,60
16384,4224720,dec,60
16384,4225392,enc,61
16384,4224720,dec,61
16384,4225472,enc,62
16384,4224720,dec,62
16384,4225360,enc,63
16384,4224656,dec,63
32768,8449440,enc,0
32768,8448704,dec,0
32768,8449312,enc,1
32768,8448704,dec,1
32768,8449280,enc,2
32768,8448800,dec,2
32768,8449440,enc,3
32768,8448704,dec,3
32768,8449280,enc,4
32768,8448656,dec,4
32768,8449312,enc,5
32768,8448656,dec,5
32768,8449456,enc,6
32768,8448800,dec,6
32768,8449280,enc,7
32768,8448800,dec,7
32768,8449440,enc,8
32768,8448704,dec,8
32768,8449280,enc,9
32768,8448800,dec,9
32768,8449440,enc,10
32768,8448704,dec,10
32768,8449408,enc,11
32768,8448704,dec,11
32768,8449440,enc,12
32768,8448704,dec,12
32768,8449280,enc,13
32768,8448656,dec,13
32768,8449216,enc,14
32768,8448720,dec,14
32768,8449456,enc,15
32768,8448800,dec,15
32768,8449280,enc,16
32768,8448800,dec,16
32768,8449440,enc,17
32768,8448704,dec,17
32768,8449280,enc,18
32768,8448800,dec,18
32768,8449440,enc,19
32768,8448704,dec,19
32768,8449280,enc,20
32768,8448656,dec,20
32768,8449392,enc,21
32768,8448704,dec,21
32768,8449440,enc,22
32768,8448704,dec,22
32768,8449280,enc,23
32768,8448800,dec,23
32768,8449440,enc,24
32768,8448704,dec,24
32768,8449408,enc,25
32768,8448704,dec,25
32768,8449472,enc,26
32768,8448704,dec,26
32768,8449456,enc,27
32768,8448800,dec,27
32768,8449280,enc,28
32768,8448736,dec,28
32768,8449456,enc,29
32768,8448800,dec,29
32768,8449280,enc,30
32768,8448800,dec,30
32768,8449440,enc,31
32768,8448704,dec,31
32768,8449280,enc,32
32768,8448800,dec,32
32768,8449408,enc,33
32768,8448704,dec,33
32768,8449216,enc,34
32768,8448656,dec,34
32768,8449280,enc,35
32768,8448656,dec,35
32768,8449392,enc,36
32768,8448704,dec,36
32768,8449440,enc,37
32768,8448704,dec,37
32768,8449280,enc,38
32768,8448800,dec,38
32768,8449440,enc,39
32768,8448704,dec,39
32768,8449456,enc,40
32768,8448640,dec,40
32768,8449392,enc,41
32768,8448704,dec,41
32768,8449280,enc,42
32768,8448656,dec,42
32768,8449392,enc,43
32768,8448704,dec,43
32768,8449408,enc,44
32768,8448704,dec,44
32768,8449280,enc,45
32768,8448800,dec,45
32768,8449440,enc,46
32768,8448704,dec,46
32768,8449280,enc,47
32768,8448800,dec,47
32768,8449376,enc,48
32768,8448640,dec,48
32768,8449456,enc,49
32768,8448800,dec,49
32768,8449392,enc,50
32768,8448704,dec,50
32768,8449280,enc,51
32768,8448720,dec,51
32768,8449280,enc,52
32768,8448800,dec,52
32768,8449440,enc,53
32768,8448704,dec,53
32768,8449280,enc,54
32768,8448800,dec,54
32768,8449440,enc,55
32768,8448704,dec,55
32768,8449456,enc,56
32768,8448800,dec,56
32768,8449216,enc,57
