size,cycles,type,dpu
32768,778144,enc,53
32768,782032,dec,53
32768,777328,enc,54
32768,782928,dec,54
32768,778112,enc,55
32768,782480,dec,55
32768,777024,enc,56
32768,782304,dec,56
32768,777904,enc,57
32768,783776,dec,57
32768,777920,enc,58
32768,784128,dec,58
32768,777136,enc,59
32768,782416,dec,59
32768,777040,enc,60
32768,784736,dec,60
32768,778192,enc,61
32768,782336,dec,61
32768,777040,enc,62
32768,785488,dec,62
32768,777712,enc,63
32768,785120,dec,63
65536,1541296,enc,0
65536,1547248,dec,0
65536,1540816,enc,1
65536,1546160,dec,1
65536,1540256,enc,2
65536,1544496,dec,2
65536,1541600,enc,3
65536,1544816,dec,3
65536,1540528,enc,4
65536,1544912,dec,4
65536,1540608,enc,5
65536,1546544,dec,5
65536,1541200,enc,6
65536,1546304,dec,6
65536,1540304,enc,7
65536,1545264,dec,7
65536,1539712,enc,8
65536,1546400,dec,8
65536,1540416,enc,9
65536,1545024,dec,9
65536,1540016,enc,10
65536,1545264,dec,10
65536,1540176,enc,11
65536,1545856,dec,11
65536,1539968,enc,12
65536,1545584,dec,12
65536,1540224,enc,13
65536,1546960,dec,13
65536,1540256,enc,14
