size,cycles,type,dpu
16384,41560464,enc,5
16384,41560864,dec,5
16384,41223168,enc,6
16384,41223680,dec,6
16384,41223408,enc,7
16384,41223680,dec,7
16384,42236368,enc,8
16384,42236752,dec,8
16384,41223184,enc,9
16384,41223680,dec,9
16384,39695776,enc,10
16384,39696112,dec,10
16384,40707344,enc,11
16384,40707680,dec,11
16384,39294736,enc,12
16384,39295296,dec,12
16384,39528800,enc,13
16384,39528976,dec,13
16384,40880368,enc,14
16384,40880640,dec,14
16384,41398512,enc,15
16384,41398848,dec,15
16384,42098848,enc,16
16384,42100032,dec,16
16384,41560288,enc,17
16384,41560624,dec,17
16384,40707248,enc,18
16384,40707552,dec,18
16384,41560448,enc,19
16384,41560816,dec,19
16384,41223296,enc,20
16384,41223696,dec,20
16384,42400432,enc,21
16384,42400912,dec,21
16384,40229824,enc,22
16384,40230080,dec,22
16384,41899616,enc,23
16384,41899744,dec,23
16384,42567232,enc,24
16384,42567568,dec,24
16384,40541696,enc,25
16384,40541968,dec,25
16384,40880368,enc,26
16384,40880640,dec,26
16384,40033280,enc,27
16384,40033568,dec,27
16384,39358032,enc,28
16384,39358256,dec,28
16384,42737360,enc,29
16384,42737648,dec,29
16384,41560448,enc,30
16384,41560864,dec,30
16384,41048176,enc,31
16384,41048272,dec,31
16384,39357888,enc,32
16384,39358384,dec,32
16384,41047808,enc,33
16384,41048208,dec,33
16384,41560464,enc,34
16384,41560688,dec,34
16384,42236224,enc,35
16384,42236736,dec,35
16384,40373904,enc,36
16384,40374064,dec,36
16384,41048032,enc,37
16384,41048208,dec,37
16384,41899392,enc,38
16384,41899728,dec,38
16384,41398752,enc,39
16384,41398848,dec,39
16384,40373808,enc,40
16384,40374144,dec,40
16384,40880448,enc,41
16384,40880672,dec,41
16384,39528768,enc,42
16384,39528960,dec,42
16384,41899392,enc,43
16384,41899744,dec,43
16384,41047936,enc,44
16384,41048208,dec,44
16384,41398512,enc,45
16384,41398848,dec,45
16384,40541696,enc,46
16384,40541968,dec,46
16384,41048176,enc,47
16384,41048272,dec,47
16384,40229824,enc,48
16384,40230080,dec,48
16384,40880368,enc,49
16384,40880640,dec,49
16384,41738512,enc,50
16384,41738912,dec,50
16384,40707264,enc,51
16384,40707584,dec,51
16384,39695808,enc,52
16384,39696192,dec,52
16384,40880368,enc,53
16384,40880640,dec,53
16384,42099920,enc,54
16384,42100016,dec,54
16384,41899440,enc,55
16384,41899776,dec,55
16384,41398624,enc,56
16384,41398816,dec,56
16384,41223168,enc,57
16384,41223680,dec,57
16384,42099680,enc,58
16384,42100016,dec,58
16384,42099392,enc,59
16384,42100016,dec,59
16384,42236096,enc,60
16384,42236624,dec,60
16384,41738320,enc,61
16384,41738576,dec,61
16384,42236224,enc,62
16384,42236608,dec,62
16384,41223296,enc,63
16384,41223696,dec,63
32768,81710768,enc,0
32768,81710880,dec,0
32768,82396288,enc,1
32768,82396592,dec,1
32768,81710528,enc,2
32768,81711008,dec,2
32768,85422768,enc,3
32768,85422992,dec,3
32768,84421168,enc,4
32768,84421600,dec,4
32768,84147920,enc,5
32768,84148608,dec,5
32768,82396128,enc,6
32768,82396448,dec,6
32768,80017168,enc,7
32768,80017568,dec,7
32768,80698000,enc,8
32768,80698416,dec,8
32768,81710736,enc,9
32768,81710896,dec,9
32768,83426144,enc,10
32768,83426176,dec,10
32768,82396256,enc,11
32768,82396640,dec,11
32768,83747872,enc,12
32768,83748064,dec,12
32768,80697984,enc,13
32768,80698352,dec,13
32768,82045696,enc,14
32768,82046080,dec,14
32768,81364640,enc,15
32768,81365072,dec,15
32768,83425760,enc,16
32768,83425712,dec,16
32768,80697984,enc,17
32768,80698496,dec,17
32768,88153216,enc,18
32768,88153536,dec,18
32768,79342528,enc,19
32768,79342928,dec,19
32768,80698080,enc,20
32768,80698480,dec,20
32768,86442176,enc,21
32768,86442544,dec,21
32768,85422816,enc,22
32768,85423024,dec,22
32768,83747904,enc,23
32768,83748144,dec,23
32768,83425744,enc,24
32768,83425936,dec,24
32768,81033520,enc,25
32768,81033808,dec,25
32768,81710560,enc,26
32768,81711008,dec,26
32768,82396128,enc,27
32768,82396448,dec,27
32768,81364608,enc,28
32768,81364896,dec,28
32768,80410112,enc,29
32768,80410688,dec,29
32768,84147920,enc,30
32768,84148608,dec,30
32768,81710560,enc,31
32768,81710992,dec,31
32768,83070048,enc,32
32768,83070400,dec,32
32768,82045856,enc,33
32768,82046032,dec,33
32768,81364640,enc,34
32768,81365072,dec,34
32768,82045696,enc,35
32768,82046080,dec,35
32768,81710544,enc,36
32768,81710992,dec,36
32768,82746704,enc,37
32768,82746896,dec,37
32768,82045904,enc,38
32768,82046064,dec,38
32768,80017056,enc,39
32768,80017440,dec,39
32768,79678160,enc,40
32768,79678480,dec,40
32768,82746160,enc,41
